label_index,word_id,word,hand_type,onehand_label,source_selection_index
88,2190,운전자,two,-1,89
89,212,고등학생,two,-1,90
90,230,여학생,two,-1,91
91,2023,청년,two,-1,92
92,2024,청소년,two,-1,93
93,2032,노인,two,-1,94
94,14,외국인,two,-1,95
95,2013,한국인,two,-1,96
96,461,농인,two,-1,97
97,1530,바쁘다,two,-1,98
98,1222,힘들다,one,35,99
99,9,슬프다,one,36,100
100,11,안타깝다,two,-1,101
101,26,급하다,two,-1,102
102,1294,걱정,one,37,103
103,1123,불안,two,-1,104
104,1128,당황,two,-1,105
105,1134,무섭다,two,-1,106
106,1124,밉다,two,-1,107
107,1140,즐겁다,two,-1,108
108,1169,행복,one,38,109
109,1195,실망,two,-1,110
110,1217,희망,two,-1,111
111,1201,죄송,two,-1,112
112,1290,감사,two,-1,113
113,1215,창피,one,39,114
114,1220,부럽다,one,40,115
115,1289,감동,two,-1,116
116,1224,웃다,one,41,117
117,1399,미소,two,-1,118
118,1205,우습다,one,42,119
119,1731,재미없다,two,-1,120
120,1212,지겹다,two,-1,121
121,1346,귀찮다,two,-1,122
122,684,괴롭다,one,43,123
123,968,난감하다,one,44,124
124,1236,화나다,one,45,125
125,1255,짜증,one,46,126
126,1251,우울,one,47,127
127,1252,후회,two,-1,128
128,1158,피곤하다,two,-1,129
129,953,배고프다,one,48,130
130,1200,배부르다,two,-1,131
131,1244,졸리다,one,49,132
132,1248,춥다,two,-1,133
133,1382,덥다,two,-1,134
134,1383,따뜻하다,two,-1,135
135,1301,시원하다,two,-1,136
136,2542,뜨겁다,two,-1,137
137,1152,아프다,one,50,138
138,1145,예쁘다,one,51,139
139,1314,귀엽다,one,52,140
140,1156,나쁘다,one,53,141
141,1177,솔직,two,-1,142
142,1188,차분,two,-1,143
143,22,침착,two,-1,144
144,23,성실,two,-1,145
145,1154,깨끗하다,one,54,146
146,1186,조심,two,-1,147
147,1592,회사,two,-1,148
148,1496,병원,two,-1,149
149,41,보건소,two,-1,150
150,104,식당,one,55,151
151,2183,사무실,two,-1,152
152,215,교실,two,-1,153
153,232,연구실,two,-1,154
154,226,서점,two,-1,155
155,168,주차장,two,-1,156
156,206,주유소,two,-1,157
157,2177,공항,one,56,158
158,156,기차역,two,-1,159
159,172,터미널,two,-1,160
160,1456,시청,two,-1,161
161,489,주민센터,one,57,162
162,136,경찰서,one,58,163
163,655,수영장,two,-1,164
164,2153,운동장,two,-1,165
165,634,서울역,two,-1,166
166,170,출근,two,-1,167
167,173,근무,two,-1,168
168,175,퇴사,two,-1,169
169,193,구직,two,-1,170
170,2196,취업,two,-1,171
171,166,재택근무,two,-1,172
172,2179,월급,two,-1,173
173,164,이력서,two,-1,174
174,1581,시험,two,-1,175
175,228,실습,two,-1,176
176,412,학습,two,-1,177
177,223,복습,one,59,178
178,233,예습,two,-1,179
179,878,출석,two,-1,180
180,34,독서,two,-1,181
181,238,연구,two,-1,182
182,241,훈련,two,-1,183
183,169,채팅,two,-1,184
184,808,전화번호,one,60,185
185,1540,생활,two,-1,186
186,155,여행사,two,-1,187
187,2057,관광,one,61,188
188,1503,구경,one,62,189
189,1558,이사,two,-1,190
190,1557,출장,two,-1,191
191,1501,운전면허,two,-1,192
192,201,신용카드,two,-1,193
193,130,월세,one,63,194
194,131,전세,two,-1,195
195,2174,용돈,two,-1,196
196,200,수입,two,-1,197
197,5,눈,two,-1,198
198,1370,귀,one,64,199
199,1235,코,one,65,200
200,1279,입,one,66,201
201,1181,혀,one,67,202
202,1374,이마,one,68,203
203,1375,볼,one,69,204
204,1262,턱,one,70,205
205,1376,목,one,71,206
206,1226,손,two,-1,207
207,1147,팔,two,-1,208
208,1599,다리,two,-1,209
209,1253,몸,two,-1,210
210,1210,얼굴,one,72,211
211,1249,머리,one,73,212
212,1241,머리카락,one,74,213
213,1371,눈썹,one,75,214
214,1373,치아,one,76,215
215,288,체온,two,-1,216
216,2039,몸무게,two,-1,217
217,1115,건강,two,-1,218
218,37,감기,two,-1,219
219,1533,병,one,77,220
220,1576,환자,two,-1,221
221,29,검사,two,-1,222
222,64,치료,two,-1,223
223,57,회복,two,-1,224
224,60,입원,two,-1,225
225,67,퇴원,two,-1,226
226,689,통증,one,78,227
227,1519,상처,two,-1,228
228,71,화상,two,-1,229
229,387,골절,two,-1,230
230,46,설사,one,79,231
231,39,변비,one,80,232
232,970,불면,two,-1,233
233,44,붕대,two,-1,234
234,2131,물약,two,-1,235
235,2108,가루약,two,-1,236
236,132,치약,two,-1,237
237,1534,밥,one,81,238
238,115,커피,two,-1,239
239,815,우유,two,-1,240
240,7,음료수,one,82,241
241,99,사과,two,-1,242
242,88,딸기,one,83,243
243,90,라면,two,-1,244
244,87,두부,two,-1,245
245,86,돼지고기,two,-1,246
246,98,비빔밥,two,-1,247
247,100,사이다,two,-1,248
248,116,콜라,two,-1,249
249,109,술,one,84,250
250,165,자가용,two,-1,251
251,149,구급차,two,-1,252
252,148,마을버스,two,-1,253
253,1593,기차,two,-1,254
254,154,여객선,two,-1,255
255,846,차도,two,-1,256
256,1342,왼쪽,two,-1,257
257,1343,오른쪽,two,-1,258
258,2100,위,two,-1,259
259,2577,아래,two,-1,260
260,1578,밖,two,-1,261
261,948,가깝다,two,-1,262
262,949,멀다,one,85,263
263,339,아까,two,-1,264
264,320,방금,one,86,265
265,334,예전,two,-1,266
266,309,어젯밤,two,-1,267
267,336,월요일,two,-1,268
268,347,화요일,two,-1,269
269,329,수요일,two,-1,270
270,316,금요일,two,-1,271
271,257,일요일,two,-1,272
272,344,평일,two,-1,273
273,312,공휴일,two,-1,274
274,338,자정,two,-1,275
275,814,월초,two,-1,276
276,932,매일매일,two,-1,277
277,2631,영,one,87,278
278,2632,일,one,88,279
279,2633,이,one,89,280
280,2634,삼,one,90,281
281,2635,사,one,91,282
282,2636,오,one,92,283
283,2637,육,one,93,284
284,2638,칠,one,94,285
285,2640,구,one,95,286
286,2641,십,one,96,287
287,1322,빨강,one,97,288
288,1323,노랑,one,98,289
289,1324,초록,one,99,290
290,1325,파랑,one,100,291
291,1321,검정,one,101,292
292,1121,흰,one,102,293
293,290,하늘,one,103,294
294,2538,달,one,104,295
295,2551,별,one,105,296
296,2552,비,two,-1,297
297,2549,바람,two,-1,298
298,2546,바다,two,-1,299
299,2563,온도,two,-1,300
